state,vegetable,January,February,March,April,May,June,July,August,September,October,November,December
hawaii,lettuce,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,limes,Prime Time,Prime Time,Last Chance,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,longan,,,,,,,,Starting Now,Prime Time,Last Chance,,
hawaii,loquats,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
hawaii,lychee,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
hawaii,malabar-spinach,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,mamey-sapote,Prime Time,Last Chance,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,mandarins,Prime Time,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time
hawaii,mangoes,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
hawaii,melons,,,,,,Starting Now,Prime Time,Last Chance,,,,
hawaii,mint,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,moringa,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,mushrooms,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,onions,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
hawaii,oranges,Prime Time,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time
hawaii,oregano,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,
hawaii,papaya,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
hawaii,parsley,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,passionfruit,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,pea-shoots,,Prime Time,,,,,,,,,,
hawaii,peas,,Prime Time,,,,,,,,,,
hawaii,peppers,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
hawaii,persimmons,,,,,,,,,Starting Now,Prime Time,Last Chance,
hawaii,pigeon-peas,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time
hawaii,pineapple,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
hawaii,plums,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,,
hawaii,pomegranates,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance
hawaii,potatoes,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
hawaii,pummelo,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time
hawaii,pumpkin,,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance
hawaii,radishes,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,rambutan,,Starting Now,Last Chance,,,,,,,,,
hawaii,raspberries,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
hawaii,rhubarb,,,,,Starting Now,Last Chance,,,,,,
hawaii,rosemary,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,sage,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,sapodilla,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,shallots,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,,
hawaii,spinach,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,sprouts,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,starfruit,Prime Time,Prime Time,Prime Time,Last Chance,,,,,Starting Now,Prime Time,Prime Time,Prime Time
hawaii,strawberries,Starting Now,Prime Time,Prime Time,Last Chance,,,,,,,,
hawaii,sugarcane,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
hawaii,summer-squash,Prime Time,Last Chance,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,sweet-potatoes,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,tangerines,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time
hawaii,taro,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,taro-leaf,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
hawaii,tarragon,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,thyme,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,tomatillos,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance
hawaii,tomatoes,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance
hawaii,turmeric,Prime Time,Prime Time,Last Chance,,,Starting Now,Last Chance,,,,Starting Now,Prime Time
hawaii,watercress,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
hawaii,watermelon,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
hawaii,white-sapote,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
hawaii,yams,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,yuca,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
hawaii,zucchini,Prime Time,Last Chance,,,Starting Now,Prime Time,Prime Time,Last Chance,,Starting Now,Prime Time,Prime Time
idaho,apples,Starting Now,Prime Time,Prime Time,Last Chance,,,,Starting Now,Prime Time,Prime Time,Last Chance,
idaho,apricots,,,,,,,Prime Time,,,,,
idaho,arugula,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
idaho,asian-pears,,,,,,,,Starting Now,Last Chance,,,
idaho,asparagus,,,,Starting Now,Last Chance,,,,,,,
idaho,basil,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,beets,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
idaho,blackberries,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,blueberries,,,,,,,,Starting Now,Last Chance,,,
idaho,bok-choy,,,,,,,,Starting Now,Prime Time,Last Chance,,
idaho,boysenberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
idaho,brambles,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
idaho,broccoli,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
idaho,brussels-sprouts,,,,,,,,,Prime Time,,,
idaho,cabbage,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
idaho,cantaloupe,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,cardoons,,,,,,,,,,Starting Now,Prime Time,Last Chance
idaho,carrots,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
idaho,cauliflower,,,,,,,,,Starting Now,Prime Time,Last Chance,
idaho,celery,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
idaho,celery-root,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
idaho,chard,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
idaho,cherries,,,,,,,Starting Now,Last Chance,,,,
idaho,chickpeas,,,,Starting Now,Last Chance,,,,,,,
idaho,chicories,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
idaho,chili-peppers,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
idaho,chives,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,cilantro,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,collard-greens,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
idaho,corn,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,cucumbers,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,eggplant,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,endive,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
idaho,fava-beans,,,,,Starting Now,Last Chance,,,,,,
idaho,fennel,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,fiddleheads,,,,Starting Now,Last Chance,,,,,,,
idaho,garlic,,,,,,,Starting Now,Last Chance,,,,
idaho,garlic-scapes,,,,,,Prime Time,,,,,,
idaho,gooseberries,,,,,,,Starting Now,Last Chance,,,,
idaho,grapes,,,,,,,,,Starting Now,Last Chance,,
idaho,green-beans,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,green-onions,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,ground-cherries,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
idaho,horseradish,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
idaho,kale,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
idaho,lamb's-quarters,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
idaho,lavender,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
idaho,leeks,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
idaho,lettuce,,,,,Starting Now,Last Chance,,,,,,
idaho,lima-beans,,,,,,,,Starting Now,Last Chance,,,
idaho,melons,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,mint,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,morels,,,,Starting Now,Last Chance,,,,,,,
idaho,mushrooms,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
idaho,mustard-greens,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
idaho,nectarines,,,,,,,,Starting Now,Last Chance,,,
idaho,nettles,,,,Starting Now,Last Chance,,,,,,,
idaho,onions,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
idaho,oregano,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,parsley,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,parsnips,,,,,,,,,Starting Now,Last Chance,,
idaho,pea-shoots,,,,Starting Now,Last Chance,,,,,,,
idaho,peaches,,,,,,,,Starting Now,Prime Time,Last Chance,,
idaho,pears,,,,,,,,,Starting Now,Prime Time,Last Chance,
idaho,peas,,,,,Starting Now,Last Chance,,,,,,
idaho,peppers,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,plums,,,,,,,,Starting Now,Last Chance,,,
idaho,potatoes,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
idaho,pumpkin,,,,,,,,,Starting Now,Prime Time,Last Chance,
idaho,purslane,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,,
idaho,quince,,,,,,,,,,Starting Now,Last Chance,
idaho,radicchio,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
idaho,radishes,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
idaho,rapini,Prime Time,Last Chance,,,Starting Now,Last Chance,,,,Starting Now,Prime Time,Prime Time
idaho,raspberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
idaho,rhubarb,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
idaho,rosemary,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,rutabaga,,,,,,,,,Starting Now,Last Chance,,
idaho,sage,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,salsify,Last Chance,,,,,,,,,Starting Now,Prime Time,Prime Time
idaho,shallots,,,,,,,,Starting Now,Prime Time,Last Chance,,
idaho,shell-beans,,,,,,,,Starting Now,Last Chance,,,
idaho,snap-peas,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
idaho,snow-peas,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
idaho,sorrel,,,,,Starting Now,Prime Time,Last Chance,,,,,
idaho,spinach,,,,,Starting Now,Prime Time,Last Chance,,,,,
idaho,sprouts,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
idaho,strawberries,,,,,,,Starting Now,Last Chance,,,,
idaho,summer-squash,,,,,,,Starting Now,Prime Time,Last Chance,,,
idaho,sunchokes,Prime Time,,,,,,Starting Now,Last Chance,,,,
idaho,sweet-potatoes,,,,,,,,Starting Now,Last Chance,,,
idaho,tarragon,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,thyme,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,tomatillos,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
idaho,tomatoes,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
idaho,turnips,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
idaho,watercress,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
idaho,watermelon,,,,,,Starting Now,Prime Time,Last Chance,,,,
idaho,winter-squash,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance
idaho,zucchini,,,,,,,Starting Now,Prime Time,Last Chance,,,
illinois,apples,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,arugula,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
illinois,asian-pears,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,asparagus,,,,Starting Now,Prime Time,Last Chance,,,,,,
illinois,basil,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,beets,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,black-eyed-peas,,,,,,Starting Now,Last Chance,,,,,
illinois,blackberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,blueberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,bok-choy,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,boysenberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,brambles,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,broccoli,,,Starting Now,Last Chance,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,brussels-sprouts,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
illinois,cabbage,,,,,Starting Now,Prime Time,Last Chance,,Starting Now,Prime Time,Last Chance,
illinois,cantaloupe,,,,,,,,Starting Now,Last Chance,,,
illinois,cardoons,,,,,,,,,,Starting Now,Prime Time,Last Chance
illinois,carrots,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,cauliflower,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,celery,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,celery-root,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,chard,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
illinois,cherries,,,,,Starting Now,Prime Time,Last Chance,,,,,
illinois,chicories,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
illinois,chili-peppers,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,chives,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,cilantro,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
illinois,collard-greens,,,,,Prime Time,,,,,Starting Now,Last Chance,
illinois,corn,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
illinois,cucumbers,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,currants,,,,,,Starting Now,Prime Time,Last Chance,,,,
illinois,eggplant,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,endive,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
illinois,garlic,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,garlic-scapes,,,,,Starting Now,Last Chance,,,,,,
illinois,gooseberries,,,,,,Starting Now,Last Chance,,,,,
illinois,grapes,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
illinois,green-beans,,,,,,Starting Now,Prime Time,Last Chance,,,,
illinois,green-onions,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,ground-cherries,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,horseradish,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,kale,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,kohlrabi,,,,,Starting Now,Last Chance,,,Starting Now,Last Chance,,
illinois,lamb's-quarters,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,lavender,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
illinois,leeks,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,
illinois,lettuce,,,,Starting Now,Prime Time,Last Chance,,Starting Now,Prime Time,Last Chance,,
illinois,lima-beans,,,,,,,,,Starting Now,Last Chance,,
illinois,melons,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,mint,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,morels,,,Starting Now,Prime Time,Last Chance,,,,,,,
illinois,mushrooms,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
illinois,mustard-greens,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,nectarines,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,okra,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,onions,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,oregano,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,parsley,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
illinois,parsnips,,,,Starting Now,Last Chance,,,,,Starting Now,Last Chance,
illinois,pawpaw,,,,,,,,,Starting Now,Last Chance,,
illinois,pea-shoots,,,,,Starting Now,Last Chance,,,,,,
illinois,peaches,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,pears,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,peas,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,peppers,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,plums,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,potatoes,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,pumpkin,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
illinois,purslane,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,quince,,,,,,,,,Starting Now,Last Chance,,
illinois,radicchio,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
illinois,radishes,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,ramps,,,,Starting Now,Last Chance,,,,,,,
illinois,rapini,Prime Time,Last Chance,,,Starting Now,Last Chance,,,,Starting Now,Prime Time,Prime Time
illinois,raspberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,rhubarb,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,rosemary,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,sage,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,salsify,Last Chance,,,,,,,,,Starting Now,Prime Time,Prime Time
illinois,shallots,Last Chance,,,,,Starting Now,Prime Time,Last Chance,,,,Starting Now
illinois,shell-beans,,,,,,,,,Starting Now,Last Chance,,
illinois,snap-peas,,,,,,Starting Now,Prime Time,Last Chance,,,,
illinois,snow-peas,,,,,,Starting Now,Prime Time,Last Chance,,,,
illinois,sorrel,,,,Starting Now,Prime Time,Last Chance,,,,,,
illinois,spinach,,,,Starting Now,Prime Time,Last Chance,,,Starting Now,Prime Time,Last Chance,
illinois,sprouts,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time
illinois,strawberries,,,,,Starting Now,Last Chance,,,,,,
illinois,summer-squash,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
illinois,sunchokes,Prime Time,,,,,,Prime Time,,,,,
illinois,sweet-potatoes,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
illinois,tarragon,,,,,,,,Starting Now,Prime Time,Last Chance,,
illinois,thyme,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,tomatillos,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,tomatoes,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,turnips,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
illinois,watercress,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,,,
illinois,watermelon,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
illinois,winter-squash,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
illinois,zucchini,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
indiana,apples,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
indiana,arugula,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
indiana,asparagus,,,,Starting Now,Prime Time,Last Chance,,,,,,
indiana,basil,,,,,,,Starting Now,Prime Time,Last Chance,,,
indiana,beets,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
indiana,black-eyed-peas,,,,,,Starting Now,Last Chance,,,,,
indiana,blackberries,,,,,,Starting Now,Prime Time,Last Chance,,,,
indiana,blueberries,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
indiana,bok-choy,,,,,,,,Starting Now,Last Chance,,,
indiana,boysenberries,,,,,,Starting Now,Prime Time,Last Chance,,,,
indiana,brambles,,,,,,Starting Now,Prime Time,Last Chance,,,,
indiana,broccoli,,,,,Starting Now,Prime Time,Last Chance,,Starting Now,Last Chance,,
indiana,brussels-sprouts,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
indiana,cabbage,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
indiana,cantaloupe,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,
indiana,cardoons,,,,,,,,,,Starting Now,Prime Time,Last Chance
indiana,carrots,,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,
indiana,cauliflower,,,,,Starting Now,Last Chance,,,Starting Now,Last Chance,,
indiana,celery,,,,,,,,Starting Now,Prime Time,Last Chance,,
indiana,celery-root,,,,,,,,Starting Now,Prime Time,Last Chance,,
indiana,chard,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
indiana,cherries,,,,,,Starting Now,Last Chance,,,,,
indiana,chicories,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
indiana,chili-peppers,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
indiana,chives,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
indiana,cilantro,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
indiana,collard-greens,,,,Starting Now,Prime Time,Last Chance,,,Starting Now,Prime Time,Last Chance,
indiana,corn,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
indiana,cucumbers,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
indiana,eggplant,,,,,,,Starting Now,Prime Time,Last Chance,,,
indiana,endive,Prime Time,Prime Time,Last Chance,,,,,,,Starting Now,Prime Time,Prime Time
indiana,fava-beans,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
indiana,garlic,,,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,
indiana,garlic-scapes,,,,,Starting Now,Last Chance,,,,,,
indiana,gooseberries,,,,,,Starting Now,Last Chance,,,,,
indiana,grapes,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
indiana,green-beans,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,
indiana,green-onions,,,,,,Starting Now,Prime Time,Prime Time,Last Chance,,,
indiana,ground-cherries,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Last Chance,,,
indiana,horseradish,Prime Time,Prime Time,Prime Time,Last Chance,,,,,,Starting Now,Prime Time,Prime Time
indiana,kale,,,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,
indiana,kohlrabi,,,,,Starting Now,Last Chance,,,Starting Now,Last Chance,,
indiana,lamb's-quarters,,,,Starting Now,Prime Time,Prime Time,Prime Time,Prime Time,Prime Time,Last Chance,,
